"X165";"X1";"X178";"X163";"X105";"X47";"X161";"X2";"X14";"X170";"X103";"X98";"X81";"X162";"X164";"X151";"X83";"X152";"X149";"X159";"X101";"y"
-52;-8;-63;-25;-87;-62;-2;-1;-11;-52;-57;-32;7;-12;-41;-17;22;-20;-17;-3;-31;"2"
-87;-105;-99;-28;-90;-76;-37;-97;-31;-20;-23;44;-23;-14;-77;29;41;108;-82;42;18;"4"
-108;-100;-91;-107;-90;-56;-101;-98;-100;-99;-94;-81;-100;-107;-111;-80;-92;-80;-73;-89;-90;"3"
-1;84;-61;-30;-104;60;17;62;48;-51;-65;0;95;-14;-20;-96;46;-99;-97;40;-1;"4"
-50;1;-17;23;15;-52;65;-18;71;27;-22;29;73;52;-24;9;44;10;-40;25;3;"5"
-97;-36;-25;-39;-22;-128;-85;-38;-45;-76;10;-49;-102;-53;-60;-34;-89;-17;-20;-116;17;"5"
33;-65;32;57;38;16;54;-28;-78;25;-2;37;31;62;51;33;22;24;45;66;4;"5"
36;-13;102;47;15;-85;71;-13;-39;38;-12;-57;-270;59;39;93;-250;95;80;92;-35;"2"
-7;36;-59;12;91;-10;29;40;-11;84;73;-5;19;22;-6;-44;8;-19;-23;40;11;"4"
-158;21;10;-160;-253;-107;-173;23;12;-86;-248;-191;162;-164;-159;-231;282;-227;-234;-178;-236;"1"
66;8;20;75;-23;-15;36;14;-53;-21;1;5;-7;60;82;54;2;71;32;-10;10;"4"
-2;66;-34;7;-37;52;7;34;27;20;0;21;13;10;-1;-6;25;-1;-11;-1;-1;"5"
-32;-38;-39;-22;-9;-48;-13;-47;-2;-34;-2;1;-43;-18;-27;-17;-26;-8;-32;9;11;"3"
7;-38;-17;12;-3;18;40;-34;27;-14;17;-17;-24;24;0;57;-25;67;33;39;6;"5"
524;175;211;793;108;-201;478;163;133;195;180;221;190;755;690;-279;184;-273;-308;-229;252;"1"
-6;25;24;-29;17;-8;-44;24;-3;-2;20;9;-26;-42;-18;-59;-37;-60;-35;-35;15;"3"
39;-36;-16;41;12;56;35;-9;-44;26;76;85;12;41;44;18;12;20;23;37;79;"5"
-30;-50;-39;-100;-41;-44;-65;-37;-32;-29;7;16;-54;-92;-69;-51;-48;-81;-31;-11;48;"4"
-54;-80;-78;-57;-83;-85;-61;-86;-94;-59;-83;-74;-111;-63;-56;-61;-109;-56;-65;-61;-86;"3"
45;17;0;43;-54;118;18;22;5;-27;-10;-57;27;19;49;7;48;4;36;15;3;"5"
-49;-58;-11;-45;-6;-32;-32;-63;-58;-38;6;-1;15;-34;-50;-53;8;-48;-56;-32;0;"2"
-185;30;-226;-145;-189;125;-39;23;-184;-118;-194;-138;163;-90;-180;190;326;255;-26;27;-159;"1"
56;-43;-69;-2;-100;32;24;-57;-20;33;-119;-65;-10;1;5;4;-2;-40;12;15;-96;"3"
174;37;119;-169;100;3;-480;26;-87;42;65;5;27;-353;61;78;-12;29;86;-482;-9;"1"
-38;-258;243;-41;-26;-8;-56;-285;29;-53;-23;2;380;-53;-42;-144;339;-187;-20;-69;-9;"1"
101;-50;214;38;413;419;-66;-546;-420;186;382;309;19;-6;72;-688;40;-574;-924;-190;342;"1"
-23;-49;-139;-20;-88;-59;-5;-32;-122;-29;-47;-86;-67;-6;-23;-112;-52;-74;-216;-62;-37;"4"
-83;-31;-55;-84;105;-50;-78;-38;-75;-76;69;82;3;-79;-81;-60;32;-51;-73;-75;45;"1"
418;-521;353;152;262;-274;-107;-429;-331;133;232;707;-483;41;291;-33;-308;-176;159;-450;370;"1"
-24;60;0;-18;48;24;-26;54;-12;-56;49;-48;-78;-24;-17;-33;-95;-28;-39;-19;28;"2"
-79;-134;-20;-56;-62;-40;-21;-113;-132;-41;-64;-37;-29;-42;-78;-32;-18;-22;-62;-13;-47;"5"
34;-87;-20;28;48;-32;-13;-75;-21;63;49;71;-45;10;31;4;-63;1;12;-15;50;"5"
27;-61;-1;34;-55;-20;77;-62;0;23;-7;-4;-3;59;21;-21;-20;-34;-6;63;22;"5"
-69;82;-385;82;214;-225;183;74;-112;206;172;11;-235;153;0;-646;-559;-589;-614;191;-13;"1"
103;139;54;139;66;-73;131;115;131;41;-14;-109;168;141;128;80;185;79;146;94;-109;"2"
-87;-73;-84;-80;-64;-89;-101;-67;-86;-83;-83;-103;-73;-89;-87;-60;-85;-62;-64;-125;-105;"5"
-29;-36;-37;-29;29;42;-52;-36;-34;-68;43;40;3;-35;-25;-44;19;-40;-55;-59;45;"3"
-60;22;-42;-75;-24;-5;-92;33;23;-30;-22;-48;-63;-85;-66;-28;-35;-32;14;-94;-35;"3"
-112;-101;170;-89;84;-92;8;-67;-82;57;62;-14;102;-36;-120;-140;167;-122;-159;14;30;"1"
-1;-124;18;-25;-80;-73;-53;-105;-55;9;-97;-78;-34;-44;-3;-28;-37;-38;-39;-56;-91;"3"
-540;-216;176;-271;-193;115;35;-120;-87;-110;-500;89;169;-94;-461;-150;195;-156;-4;-5;-381;"1"
-111;-119;26;-119;-25;27;-111;-120;-123;-113;-28;-51;-25;-121;-116;-125;-18;-123;-120;-91;-43;"3"
-55;-97;-64;-53;-96;-54;-41;-97;-106;-53;-68;-54;-66;-45;-55;-70;-53;-55;-84;-20;-29;"5"
-43;-57;-2;-53;-15;-19;-42;-46;-32;-6;-5;-43;1;-50;-52;17;-27;9;11;-16;-16;"4"
-55;-28;34;-41;-6;23;-25;-34;22;-29;-18;-48;-4;-33;-50;12;2;16;-1;-17;-33;"2"
50;60;22;48;55;87;47;47;69;18;52;73;15;50;47;60;19;59;68;50;58;"2"
-48;-87;-55;-165;-24;-87;-189;-118;-106;146;-188;75;103;-195;-117;-56;133;-21;-139;-126;-82;"1"
-140;-99;-144;-72;-86;-79;-132;-70;-131;-26;-136;-70;-55;-104;-96;-130;-64;-98;-79;-114;-178;"4"
258;-135;-142;274;220;90;268;-145;-538;173;195;50;-343;274;267;-182;-587;-131;-214;239;153;"1"
22;34;-24;34;-65;38;32;17;65;1;-36;-28;26;39;27;-31;57;-10;-23;31;-20;"4"
875;-116;-312;1004;-223;-270;504;-114;-43;183;-152;243;-248;873;973;-337;-210;-358;-270;-210;-35;"1"
-96;15;-13;-37;-69;11;-24;33;-94;-11;-63;13;62;-29;-64;-50;41;-53;-23;-36;-29;"2"
26;-274;-13;-15;47;85;-47;-349;75;93;38;15;165;-31;10;-287;75;-256;-284;-64;38;"1"
-21;19;49;3;56;33;16;6;-4;-91;26;62;12;26;-12;14;33;18;-33;-26;16;"4"
-76;86;-60;-85;-116;116;-55;59;-36;-156;-40;-66;68;-74;-80;-62;73;-58;-60;-91;-24;"4"
-270;214;238;-272;-22;19;-199;230;-41;-77;-87;-290;7;-246;-277;16;-58;-15;51;-31;-155;"1"
-3;43;8;-2;25;71;0;46;80;20;29;25;39;-4;-4;54;36;47;56;5;34;"2"
-6;68;17;17;3;-52;61;48;-20;2;-10;16;-43;39;2;10;-30;16;-30;102;-8;"5"
-8;-14;-30;26;-78;-12;64;-14;-18;-48;-58;-26;6;47;8;99;16;122;64;105;-41;"2"
42;3;43;54;61;211;76;10;-13;0;-4;80;143;65;11;92;58;76;52;18;-52;"5"
13;-3;-44;27;14;-4;29;-4;-23;-18;24;45;-61;30;20;-6;-64;3;-22;16;31;"2"
-127;26;-2;-99;-63;12;-49;31;-49;-91;-95;36;27;-67;-119;-23;-17;-10;-24;-4;-52;"5"
9;-83;18;9;0;-37;13;-85;-9;10;13;25;14;15;5;-84;44;-78;-83;12;19;"2"
-47;-65;-112;-44;148;60;-30;-85;-298;-23;153;101;100;-38;-47;47;94;43;50;-18;149;"2"
-395;63;188;-359;573;612;-116;102;-111;35;583;-32;-285;-253;-409;23;-531;27;47;199;310;"1"
-34;-14;20;-52;10;34;-59;-23;-2;12;13;20;-10;-47;-42;-7;-5;-7;-14;-49;8;"2"
403;84;-231;44;-13;-76;-84;74;-44;243;5;-275;-62;-61;224;-244;-43;-146;-391;-39;-28;"1"
-47;-40;35;-65;24;1;-52;-43;-150;21;19;-3;-7;-60;-63;-62;-21;-59;-60;-57;0;"3"
-56;-22;-4;-1;-15;51;81;-53;9;-115;0;-34;-3;52;-29;63;-10;88;56;37;0;"4"
7;99;69;25;19;8;8;79;-92;5;20;-29;22;21;39;19;23;26;13;-26;-25;"2"
89;43;-96;152;497;243;226;59;-146;-6;427;-494;123;188;120;-3;91;-9;-57;236;-14;"1"
5;-30;-7;-3;6;4;-5;-28;-36;4;25;47;-6;-6;0;24;1;24;21;2;40;"3"
-51;-27;-17;-30;73;-13;11;-50;75;-34;80;49;-29;-13;-37;-21;-78;-30;8;18;71;"4"
-318;146;-186;-361;379;-228;-372;64;-309;-266;215;-103;522;-371;-341;-34;515;-67;-81;-290;-115;"1"
16;-1;68;53;-57;-10;15;-28;59;-16;-8;-96;61;43;51;50;22;4;58;-88;-4;"4"
-752;-232;56;-448;287;-858;421;-162;14;376;438;391;-387;33;-739;-47;-1436;-324;261;432;545;"1"
-36;61;-18;-26;-42;4;-43;74;-31;20;-35;-38;-58;-34;-36;-40;-35;-43;-54;-87;-22;"5"
45;-63;-25;-55;-131;48;-152;-83;-94;-120;-185;19;-28;-113;0;28;-33;-47;136;-156;-166;"4"
-20;-113;210;20;159;-21;58;-152;109;35;126;-40;39;35;-7;88;53;105;42;93;59;"2"
-25;-69;-26;-40;-67;-134;-46;-75;-22;-19;-61;-53;-39;-45;-34;-47;-29;-28;-75;-34;-53;"3"
-150;94;-77;-206;53;-24;-177;77;-16;19;90;-28;-54;-206;-189;-9;-13;40;-92;-84;87;"4"
-41;9;14;-29;-37;10;5;8;-40;-49;-41;-48;30;-9;-32;-56;44;-63;2;17;-65;"5"
-3;-5;-1;60;-98;206;84;2;-19;10;-105;15;10;85;31;93;-50;85;62;41;-107;"3"
82;82;-100;167;-23;-106;207;32;-68;-80;-11;-144;97;193;127;-302;-7;-261;-292;220;-29;"1"
-84;87;-18;-91;33;7;-79;55;-14;-38;49;-11;63;-81;-86;-19;42;-18;-4;-55;38;"2"
-158;-11;108;-94;35;110;9;-17;69;-60;45;120;76;-44;-138;-41;24;-28;-70;37;82;"4"
-17;18;5;-65;35;-36;-45;18;48;-46;5;-14;141;-45;-46;-123;93;-107;-132;-126;-22;"2"
-9;-40;-18;-7;-31;15;-5;-44;-28;-25;-34;-9;-65;-5;-6;-72;-55;-61;-82;3;-23;"3"
-27;-95;11;-29;67;-36;-41;-87;-12;-30;82;66;65;-38;-28;35;49;34;17;-40;85;"3"
10;-5;-1;4;6;-42;-3;-21;10;-32;11;-9;-75;-6;9;-53;-64;-41;-57;-20;9;"5"
32;104;5;27;94;85;39;92;91;35;80;-6;142;26;16;45;116;53;34;38;32;"2"
7;39;-74;-3;-34;24;-31;27;35;-83;-56;-56;-68;-19;8;34;-82;32;15;-32;-58;"2"
-94;-22;-101;-100;-56;-37;-58;-5;-30;-64;-48;24;-72;-85;-101;-68;-81;-65;-62;-36;-29;"5"
93;28;82;61;39;-31;49;50;27;163;42;63;66;54;68;21;63;21;42;37;41;"3"
-37;15;-22;-15;-67;-19;-25;1;-7;-103;-3;25;-8;-2;-25;-91;40;-86;-67;-46;27;"5"
-25;71;3;-13;-1;47;-1;68;48;-15;-40;66;86;-10;-22;12;69;21;-6;29;-23;"3"
-14;10;-63;2;-11;-2;2;-7;-25;30;-42;24;12;1;-4;37;-2;45;2;-14;-23;"5"
29;-15;103;39;83;83;71;-2;-75;42;48;-7;100;58;7;35;127;40;49;126;-42;"4"
349;551;388;229;379;-516;74;603;496;443;360;367;351;155;297;10;323;-93;127;-73;347;"1"
21;14;21;58;-26;-31;42;9;-3;-24;-42;-10;-37;63;38;112;-12;83;133;-15;-47;"5"
-15;40;-46;-28;20;-41;-47;33;58;-2;20;11;28;-42;-20;-23;19;-32;-34;-40;15;"5"
370;-260;292;152;-147;18;56;-146;344;187;-61;365;-543;108;226;311;-269;274;136;-200;118;"1"
171;-36;551;93;-25;-207;96;-28;-117;359;-28;-40;-23;92;110;34;-20;43;22;85;-29;"1"
-17;-23;7;10;39;59;-6;-36;7;41;76;39;157;3;-5;16;129;8;19;4;80;"2"
-47;40;37;-21;-57;-15;-3;19;-66;-83;-56;-23;-11;-11;-32;-47;-12;-26;-82;11;-43;"2"
38;333;-504;205;-74;-46;409;286;-47;-125;-24;373;-177;307;130;-555;-416;-269;-741;583;70;"1"
-637;361;472;688;-341;-358;110;356;277;13;-350;-308;-134;514;181;306;-23;158;388;-364;-1107;"1"
-28;-59;1;-36;33;-66;-13;-62;-126;-32;-9;43;-32;-24;-28;13;-60;20;-11;8;-28;"5"
94;-8;31;60;-7;3;29;-2;17;-34;-63;-19;-31;41;76;25;-36;23;39;9;-66;"4"
38;36;23;41;-76;44;54;35;-10;40;-77;-76;3;46;40;-4;-6;5;-17;55;-87;"3"
-22;-143;-152;-12;-44;621;-57;-105;-94;-127;534;188;64;-27;-28;245;367;-322;1280;-216;565;"1"
-31;71;-23;-32;-28;-82;-52;49;-19;10;24;67;54;-48;-23;-10;52;9;-13;-52;61;"4"
7;-34;-22;-9;-38;-46;-7;-32;-71;5;-44;-49;-23;-11;-1;-18;-43;-21;-28;-13;-45;"3"
-44;-89;-26;-31;-14;-20;-20;-70;-14;-78;-13;-22;-4;-25;-37;-22;-6;-12;-37;-19;-12;"2"
61;10;11;76;47;4;102;12;38;32;-31;-18;-9;97;65;110;23;114;94;98;-85;"3"
3;-19;14;24;-35;29;39;-16;-62;-3;-31;5;-50;28;12;-1;-56;16;-30;51;-21;"2"
-27;-49;-53;-38;1;-66;-48;-48;-68;-35;4;10;-74;-44;-32;-57;-89;-56;-38;-61;18;"2"
-1;33;65;6;-28;151;13;54;-45;43;-58;-75;41;22;-6;49;-46;43;19;-3;-94;"5"
-48;10;-9;-34;46;9;30;-3;38;-43;12;-64;-25;-1;-54;19;-53;-8;-8;22;-39;"4"
55;39;21;55;100;-81;55;50;-42;46;114;75;50;53;55;30;43;46;-3;53;104;"3"
-54;71;43;-71;80;4;-33;71;-51;55;55;77;32;-60;-71;20;56;7;63;0;41;"5"
14;-29;12;22;-38;8;22;-33;-22;-7;-43;-51;-189;18;19;85;-146;78;82;35;-50;"3"
9;-21;28;-3;0;-178;-5;-26;-26;9;5;0;-17;-3;6;-29;-9;-29;-37;3;-9;"3"
-79;-86;14;-86;19;67;17;-157;21;12;-82;141;85;-27;-101;-25;144;-6;-25;33;-1;"3"
-10;13;-66;28;-32;8;25;-1;-102;36;-51;-68;37;35;12;20;25;94;-1;29;-60;"5"
-37;71;31;-122;-36;-2;-101;82;54;66;-35;94;-4;-132;-85;-24;-29;-44;5;26;-1;"4"
29;-20;19;-33;17;2;-30;-21;-10;16;-5;-9;31;-43;-7;-23;-8;-17;1;-7;-8;"5"
106;34;56;111;-15;37;93;43;-21;27;-26;-43;-44;102;114;24;-55;24;35;57;-40;"2"
-13;-65;4;60;-103;84;91;-60;-29;-73;-53;156;74;91;30;-16;93;6;-22;37;45;"4"
-143;-24;25;-96;36;-177;-16;-37;-151;-76;-13;-178;-187;-51;-128;-35;-165;-13;-105;32;-88;"4"
31;36;48;36;45;7;24;40;4;29;37;-2;-4;33;33;26;-2;42;11;1;7;"2"
25;5;37;22;3;42;1;13;62;44;-8;-11;34;7;23;-2;20;1;6;-9;-1;"3"
-24;-169;-73;-62;-104;-157;-64;-145;-53;167;-134;-6;-90;-68;-41;-129;-21;-80;-158;-24;-109;"4"
-24;-3;-31;-20;63;41;-34;7;31;-14;71;113;67;-25;-18;-31;76;-45;10;-39;82;"3"
-20;-285;211;-5;-479;-132;-141;-233;380;-316;-593;-215;-69;-67;4;-181;-139;-52;-250;-193;-457;"1"
-84;-150;-60;-121;-42;-187;-126;-151;-7;-113;-57;33;11;-131;-116;-91;-17;-81;-85;-107;-67;"3"
-25;59;21;-27;65;14;-9;64;-48;-1;45;60;40;-21;-29;-28;20;-51;2;3;21;"5"
95;-42;25;90;10;-18;37;-50;-127;-3;18;37;-53;56;97;0;-78;-22;43;17;39;"3"
26;-45;-7;18;-3;5;21;-35;0;-3;-5;-6;26;19;23;6;23;6;1;16;-10;"3"
44;-1;-29;16;30;59;-69;32;-59;18;10;57;58;-24;32;59;77;52;46;-91;15;"5"
-67;26;-28;-38;64;15;-14;13;21;56;82;75;39;-19;-46;61;24;57;45;-15;67;"5"
-81;-81;54;19;6;18;90;-74;-49;-44;-17;14;-10;60;-34;-55;-14;-39;-54;106;14;"2"
-26;-84;-38;5;58;-64;-30;-68;5;-105;13;-79;-144;-7;-10;-94;-90;-96;-54;-78;-7;"4"
1;-41;-6;-1;26;31;1;-38;5;9;16;-27;8;1;-2;-7;0;-6;-5;-8;2;"2"
59;119;24;54;-8;-17;55;131;73;32;-7;-36;54;54;60;29;49;43;0;44;-22;"5"
-88;1;-62;-88;1;16;-30;14;30;-76;22;19;-2;-65;-85;-52;-26;-51;-19;17;-7;"5"
13;-4;15;-5;-36;27;-7;10;0;-15;-23;-6;25;-4;4;-18;30;-2;-24;8;2;"5"
-142;-122;-172;-119;151;-100;-85;-124;-100;-170;-36;-174;-21;-103;-134;182;1;101;347;-54;-124;"1"
-26;45;-145;-31;-125;-22;-51;42;71;-51;-107;-110;-15;-39;-28;-73;-79;-68;-74;-61;-91;"5"
21;128;-46;57;12;8;24;129;43;-42;-3;266;32;51;45;-104;35;-114;-78;-51;2;"2"
-16;-153;4;4;-163;97;11;-159;-97;-12;-162;-89;-61;5;-10;58;-82;58;62;23;-134;"2"
-78;-17;-14;-52;110;42;20;-15;16;-69;37;-61;19;-21;-65;9;9;7;-7;118;-14;"4"
23;-19;41;8;-8;-57;2;-21;11;64;-9;30;15;-1;12;3;5;12;-3;12;12;"2"
84;37;-29;67;3;11;38;40;41;49;-13;-75;-7;47;76;21;-7;7;40;23;-34;"2"
8;-39;-28;17;-64;-18;20;-33;5;9;-61;-12;-47;21;8;23;-9;34;-11;24;-58;"2"
4;27;0;6;91;-86;13;46;-39;-4;76;-12;4;11;5;-4;9;8;-21;15;50;"2"
2;-33;-2;-7;12;-36;-13;-39;-33;13;4;-16;-47;-10;-5;-15;-62;-20;-9;-21;-12;"3"
-94;7;-6;-69;-36;3;26;11;-22;7;-53;33;-24;-27;-93;0;21;11;-10;114;-21;"4"
-18;49;-28;63;78;9;173;25;-32;67;17;-30;111;108;35;-29;68;-66;-54;151;33;"4"
-11;-125;70;29;-113;-49;36;-103;1;-33;-61;95;42;37;19;-87;113;-102;-21;16;65;"4"
-81;347;-28;-105;8;-61;-125;331;43;-49;6;-13;-115;-114;-90;-105;-153;-115;-72;-132;-7;"1"
-12;-14;44;15;24;-2;28;-6;-60;7;-15;31;34;27;12;20;56;17;38;44;-6;"5"
-73;8;-107;-106;-28;34;-110;0;12;-44;-7;7;64;-113;-97;-66;36;-73;-100;-115;24;"4"
-5;-11;-83;22;-138;38;6;-12;-43;6;-80;-73;-102;10;-3;24;-74;12;43;-1;-52;"3"
2;-6;-29;1;1;-15;-8;-5;9;-18;-10;-18;-16;0;2;-40;-13;-40;-50;-20;-17;"3"
-735;-129;627;-869;794;639;421;-125;418;402;360;19;60;-256;-1021;-393;112;-827;-71;803;108;"1"
-8;23;56;-12;10;69;-3;14;68;-2;40;32;7;-10;-10;4;-12;12;-26;17;58;"3"
-70;-39;-18;-88;-27;52;-87;-39;7;-33;-14;-24;45;-87;-77;-52;43;-54;-47;-81;-24;"2"
-276;-173;202;-57;-530;263;99;-62;-91;-428;-215;60;-220;28;-164;92;-4;75;127;177;23;"1"
-31;-47;-35;2;-29;-9;17;-40;-80;-47;-32;-46;-18;9;-16;-24;-9;-17;-24;17;-42;"3"
-72;-95;-125;-117;-19;-59;-152;-85;30;6;10;-93;79;-140;-95;5;138;11;-45;-124;-56;"4"
-215;-71;-206;-213;208;-192;-208;39;175;-237;20;-31;-189;-209;-216;-195;-189;-208;-164;-211;-319;"1"
-8;-17;-48;11;-25;-29;25;-6;-19;-40;-25;-17;-4;19;4;-17;-17;-18;-17;28;-19;"2"
-138;-34;-196;-117;-40;33;-104;-51;-39;-204;-17;4;15;-111;-126;-17;21;-32;-6;-95;-4;"3"
70;55;5;11;-14;5;-5;8;-10;-64;-44;106;-22;1;32;-57;-28;-57;32;15;-6;"4"
-28;-49;-65;-31;-82;-106;-79;-60;-46;-76;-84;-63;-89;-61;-23;-73;-64;-62;-102;-90;-77;"5"
62;-373;359;67;-465;366;-31;-278;27;-79;-529;491;-158;36;73;513;35;352;575;-274;-141;"1"
60;-26;7;73;-106;-53;67;-23;-79;-96;-136;-27;-103;65;71;18;-105;62;-88;93;-102;"2"
34;-97;100;37;56;10;52;-116;59;34;37;56;-64;51;34;17;-14;12;39;49;18;"5"
15;-35;89;10;-9;-90;-32;12;-179;-22;-10;-79;-48;-14;6;-80;-21;-65;-20;-69;-66;"2"
19;107;-29;-1;-31;117;-41;105;59;-28;-69;-68;11;-22;8;8;-10;23;-57;-27;-62;"5"
25;26;-12;6;-38;-16;-11;34;-4;13;-39;-20;3;-5;17;-16;-5;-14;-13;-14;-36;"2"
11;-44;-34;-19;-144;-191;-55;-65;-24;83;-116;129;-26;-37;-4;43;-107;44;19;-74;-22;"4"
-59;-22;-117;-79;-12;-42;-100;-16;-59;-70;-18;-27;-56;-89;-68;-35;-53;-45;-34;-91;-11;"2"
150;-72;41;134;70;34;85;-74;-11;63;123;-2;73;118;124;87;119;94;121;81;114;"4"
53;14;-13;56;8;-73;36;28;-10;15;48;-30;-178;55;57;136;-103;78;194;-6;39;"4"
20;-3;-9;4;4;-24;10;-7;-1;32;-8;8;-28;4;12;17;-12;17;9;22;-8;"2"
-55;-18;-42;-60;-52;-16;-76;-14;-23;-47;-34;-80;-88;-66;-58;-59;-61;-59;-57;-83;-55;"5"
118;-211;59;-59;375;-56;-99;-218;-258;237;244;374;260;-73;6;209;363;161;-38;-131;242;"1"
86;-39;1;-28;-2;-48;-117;-32;-88;-14;-69;-66;-21;-85;32;157;-13;147;165;-109;-82;"4"
70;57;48;37;-1;49;52;43;35;17;-23;11;46;34;48;24;34;19;32;71;-6;"5"
-116;-94;-23;12;-331;-239;86;-105;-91;-120;-44;215;-11;64;-54;-10;41;-62;84;39;279;"4"
-85;59;-11;-77;-36;15;-54;46;14;-166;-16;91;71;-67;-78;-17;40;-17;-34;-51;10;"3"
-35;41;50;-17;54;127;26;8;36;65;58;113;102;-9;-32;54;53;52;105;33;131;"4"
-84;-65;-56;-78;-91;-57;-73;-59;-71;-94;-87;-70;-89;-74;-79;-102;-86;-99;-112;-75;-76;"3"
-91;-67;-143;-148;61;-36;-133;-71;-54;33;84;12;52;-145;-128;28;84;21;-20;-86;50;"4"
-53;9;-28;-46;27;-36;-20;24;-2;-1;21;14;34;-34;-53;-4;43;-17;0;-34;17;"5"
168;-7;50;128;86;40;85;-2;101;205;25;-30;-112;104;159;11;-117;-21;65;44;27;"2"
-120;-1;-119;-87;-127;70;-46;1;-15;-173;-147;-129;-151;-74;-101;-15;-118;20;-49;24;-145;"3"
653;-187;-122;883;155;947;748;-132;186;149;299;590;-306;860;825;12;-352;-224;134;430;419;"1"
-64;11;-134;-96;-29;31;-75;-11;77;36;-24;97;32;-88;-88;-37;55;-14;-111;-61;33;"4"
65;-1;10;-40;-83;-69;-106;13;30;-21;-13;-37;-9;-88;24;65;-46;60;-1;-62;41;"5"
-117;-255;-33;-96;-995;37;-14;-134;-344;-91;-952;-322;325;-77;-109;332;272;341;319;173;-742;"1"
-55;-9;-45;-56;-10;-34;-58;7;-54;-83;-27;-38;-20;-62;-58;-68;-51;-80;-28;-63;-46;"5"
49;-39;44;51;-1;12;38;-38;-56;26;-1;-9;-56;51;51;15;-39;15;23;28;-6;"2"
601;-222;-150;450;639;390;20;-267;294;37;320;-550;209;269;551;-191;41;-259;-140;-379;-163;"1"
337;-101;245;434;214;-74;447;-57;-111;210;194;50;3;454;408;82;-97;95;93;389;198;"3"
24;-66;80;-88;76;-12;-102;-65;60;2;-77;-66;16;-108;-41;173;-87;167;-17;-78;-87;"4"
-41;37;4;-17;109;-45;-15;28;92;-50;94;-9;65;-25;-26;-91;10;-94;-39;-44;58;"3"
-83;9;-59;-68;-20;-11;-57;13;-159;-192;-39;-74;-153;-65;-77;-35;-160;-34;-26;-59;-52;"2"
-6;-21;36;15;7;14;-4;-7;24;29;21;-40;-49;5;13;3;-65;-22;50;-1;15;"5"
12;16;-2;-6;128;-101;-22;-13;27;-15;78;-44;45;-14;6;4;73;12;-21;-51;34;"4"
433;-156;-232;298;-307;-256;65;-74;-95;13;-270;-221;-157;172;394;-155;22;-160;-144;-138;-240;"1"
28;14;-35;26;-31;42;6;-9;24;-4;-13;3;11;22;26;-16;12;-7;-22;-16;9;"5"
43;60;-104;153;59;-93;164;64;-91;-93;15;-51;127;171;107;-160;176;-177;-79;123;-69;"1"
-33;3;-64;3;80;7;-63;-16;52;-56;10;-4;91;-28;-15;1;99;39;-7;-73;-21;"4"
-88;-79;-64;-91;-45;-47;-85;-82;-53;-92;-41;-69;-49;-85;-89;-70;-58;-74;-68;-79;-51;"3"
-50;-46;-135;-77;-32;80;-40;-45;24;100;-9;-33;-34;-62;-69;18;4;45;-44;3;8;"4"
-57;-22;-48;-89;-25;-90;-64;-6;-86;-79;-43;-67;-92;-85;-81;-38;-25;-39;-10;-4;-65;"4"
3;65;50;62;96;65;91;29;84;61;91;16;93;78;19;23;32;52;50;89;41;"4"
-4;-29;-34;-18;-42;-20;-45;-25;-46;-11;-43;-38;-42;-33;-13;31;-41;26;31;-72;-40;"2"
87;100;-30;95;14;45;88;93;44;9;56;90;111;94;94;20;120;20;16;69;82;"2"
-25;-8;108;-20;51;-23;-55;-22;7;-23;-10;-41;62;-27;-24;71;31;109;-22;-119;-46;"4"
-655;105;89;-239;-358;77;-76;169;-106;-256;-590;74;21;-114;-467;57;121;127;61;-33;-342;"1"
-274;448;-390;-186;-396;-338;-1;494;-183;-386;-353;-71;-363;-97;-231;307;-387;472;-233;258;-279;"1"
820;-539;-379;860;-1;-102;705;-420;733;212;-86;-247;358;788;861;279;318;372;-32;505;-173;"1"
38;81;-36;37;-12;50;9;62;48;-14;-87;-98;-110;23;38;86;-129;85;78;17;-108;"2"
86;-226;-226;128;-106;-77;151;-206;-150;-35;-133;-103;-10;143;108;231;-48;238;247;169;-149;"2"
-67;-21;-66;-71;-41;-74;-76;-27;-50;-61;-52;-83;-16;-78;-69;-105;-19;-98;-107;-89;-64;"2"
249;-639;-292;276;-789;339;284;-445;416;206;-526;294;254;283;264;7;292;57;-78;265;110;"1"
-29;-59;50;-32;-92;-62;-26;-40;-48;28;-91;-105;-126;-27;-29;-83;-140;-82;-70;-32;-85;"2"
-1;36;47;9;-83;13;3;24;7;-3;-65;-24;-76;16;5;34;-70;30;42;-25;-55;"2"
-39;55;35;-30;-37;0;-17;58;-5;55;-18;0;44;-28;-33;-39;58;-31;-58;6;-11;"2"
12;360;176;-1037;-86;299;-1224;487;723;318;92;223;-136;-1420;-465;-643;-686;-951;75;-27;389;"1"
528;1242;-258;457;543;177;113;1226;-8;13;682;1166;-244;304;539;-114;-416;-60;-94;-195;920;"1"
-335;-54;1356;44;-277;87;140;-106;-218;-594;-210;-102;253;138;-126;-85;202;-137;-60;29;-145;"1"
-49;-134;-77;-79;-22;-142;-82;-116;-54;-77;-37;-57;-47;-83;-60;15;-56;5;-12;-84;-64;"4"
16;-10;-4;7;19;-7;1;-17;3;19;22;-3;-33;0;5;-22;-33;-22;-20;-4;20;"3"
-7;-11;46;-12;-13;-37;-1;-1;15;-42;-38;6;8;-11;-6;8;-30;6;2;3;-30;"5"
-11;-24;-17;-23;-22;-43;-50;-13;-15;23;-53;-1;-29;-36;-16;61;-2;40;48;-55;-58;"5"
